Nombre_Fichero,Clase,Tiempo_Deteccion,Array_Resultado
2019_02_27_07_52_46_000_010006-trim0789-crop-360p.mp4,1,0.44,"{'num_frames_deteccion': 11, 'variabilidad': 3.186046511627907, 'max_contorno': 137.0, 'min_contorno': 43.0, 'estelaH': 1.0, 'estelaV': 2.8333333333333335, 'estela': 2.8333333333333335, 'R2': 0.9942004281058628}"
2019_12_13_01_15_46_000_010001-trim879-crop-360p.mp4,1,0.76,"{'num_frames_deteccion': 19, 'variabilidad': 1.5357142857142858, 'max_contorno': 43.0, 'min_contorno': 28.0, 'estelaH': 0.875, 'estelaV': 1.6666666666666667, 'estela': 1.6666666666666667, 'R2': 0.9288330415553304}"
2019_12_13_01_21_47_000_010001-trim1265-crop-360p.mp4,1,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2019_12_13_01_41_04_000_010005-trim195-crop-360p.mp4,1,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2019_12_13_02_14_52_000_010002-trim1402-crop-360p.mp4,1,0.6,"{'num_frames_deteccion': 15, 'variabilidad': 1.6481481481481481, 'max_contorno': 44.5, 'min_contorno': 27.0, 'estelaH': 1.0, 'estelaV': 1.5, 'estela': 1.5, 'R2': 0.9989279438835276}"
2019_12_13_02_36_57_000_010003-trim779-crop-360p.mp4,1,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2019_12_13_03_22_56_000_010002-trim1433-crop-360p.mp4,1,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2019_12_13_04_06_02_000_010004-trim355-crop-360p.mp4,1,0.28,"{'num_frames_deteccion': 7, 'variabilidad': 1.2027027027027026, 'max_contorno': 44.5, 'min_contorno': 37.0, 'estelaH': 1.4285714285714286, 'estelaV': 0.8, 'estela': 1.4285714285714286, 'R2': 0.9994091104426303}"
2019_12_13_07_16_10_000_010003-trim1084-crop-360p.mp4,1,0.04,"{'num_frames_deteccion': 1, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2019_12_14_23_22_51_000_010001-trim841-crop-360p.mp4,1,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
