Nombre_Fichero,Clase,Tiempo_Deteccion,Array_Resultado
2021_04_21_19_26_00_000_010320-trim-0381-crop-360p1.mp4,0,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_21_19_27_00_000_010320-trim-0201-crop-360p1.mp4,0,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_22_02_57_01_000_010319-trim-0022-crop-360p1.mp4,0,0.04,"{'num_frames_deteccion': 1, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_22_03_53_01_000_010315-trim-1288-crop-360p1.mp4,0,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_22_21_17_01_000_010314-trim-0651-crop-360p1.mp4,0,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_22_22_23_00_000_010319-trim-0176-crop-360p1.mp4,0,0.12,"{'num_frames_deteccion': 3, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_22_22_48_00_000_010319-trim-0519-crop-360p1.mp4,0,0.68,"{'num_frames_deteccion': 17, 'variabilidad': 1.74, 'max_contorno': 43.5, 'min_contorno': 25.0, 'estelaH': 1.1428571428571428, 'estelaV': 1.8, 'estela': 1.8, 'R2': 0.9973853943446446}"
2021_04_22_23_40_01_000_010319-trim-0720-crop-360p1.mp4,0,0.64,"{'num_frames_deteccion': 16, 'variabilidad': 1.2452830188679245, 'max_contorno': 33.0, 'min_contorno': 26.5, 'estelaH': 1.1666666666666667, 'estelaV': 1.1666666666666667, 'estela': 1.1666666666666667, 'R2': 0.9978249950486864}"
2021_04_22_23_40_01_000_010319-trim-0748-crop-360p1.mp4,0,0.44,"{'num_frames_deteccion': 11, 'variabilidad': 1.1578947368421053, 'max_contorno': 33.0, 'min_contorno': 28.5, 'estelaH': 1.3333333333333333, 'estelaV': 1.1666666666666667, 'estela': 1.3333333333333333, 'R2': 0.9993348196156856}"
2021_04_22_23_40_01_000_010319-trim-0770-crop-360p1.mp4,0,0.52,"{'num_frames_deteccion': 13, 'variabilidad': 1.72, 'max_contorno': 43.0, 'min_contorno': 25.0, 'estelaH': 1.1666666666666667, 'estelaV': 1.0, 'estela': 1.1666666666666667, 'R2': 0.9987669226884448}"
2021_04_22_23_40_01_000_010319-trim-0913-crop-360p1.mp4,0,0.28,"{'num_frames_deteccion': 7, 'variabilidad': 1.3846153846153846, 'max_contorno': 36.0, 'min_contorno': 26.0, 'estelaH': 1.1666666666666667, 'estelaV': 1.1666666666666667, 'estela': 1.1666666666666667, 'R2': 0.9990881266320975}"
2021_04_22_23_40_01_000_010320-trim-0539-crop-360p1.mp4,0,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_22_23_50_00_000_010319-trim-0992-crop-360p1.mp4,0,0.28,"{'num_frames_deteccion': 7, 'variabilidad': 1.2105263157894737, 'max_contorno': 34.5, 'min_contorno': 28.5, 'estelaH': 1.1666666666666667, 'estelaV': 1.0, 'estela': 1.1666666666666667, 'R2': 0.998213616414175}"
2021_04_22_23_50_00_000_010319-trim-1278-crop-360p1.mp4,0,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_22_23_50_00_000_010319-trim-1387-crop-360p1.mp4,0,0.12,"{'num_frames_deteccion': 3, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_23_00_30_00_000_010314-trim-0625-crop-360p1.mp4,0,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_23_19_13_00_000_010320-trim-0235-crop-360p1.mp4,0,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_23_19_37_00_000_010319-trim-0456-crop-360p1.mp4,0,0.4,"{'num_frames_deteccion': 10, 'variabilidad': 1.4727272727272727, 'max_contorno': 40.5, 'min_contorno': 27.5, 'estelaH': 1.1428571428571428, 'estelaV': 1.1666666666666667, 'estela': 1.1666666666666667, 'R2': 0.1487156737258552}"
2021_04_23_20_20_01_000_010318-trim-0602-crop-360p1.mp4,0,0.04,"{'num_frames_deteccion': 1, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_23_20_59_01_000_010318-trim-0381-crop-360p1.mp4,0,0.24,"{'num_frames_deteccion': 6, 'variabilidad': 1.3125, 'max_contorno': 42.0, 'min_contorno': 32.0, 'estelaH': 1.0, 'estelaV': 1.2857142857142858, 'estela': 1.2857142857142858, 'R2': 0.3134080859128237}"
2021_04_23_21_00_01_000_010318-trim-0351-crop-360p1.mp4,0,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
2021_04_23_21_07_01_000_010319-trim-0748-crop-360p1.mp4,0,0.2,"{'num_frames_deteccion': 5, 'variabilidad': 1.2549019607843137, 'max_contorno': 32.0, 'min_contorno': 25.5, 'estelaH': 1.3333333333333333, 'estelaV': 1.1666666666666667, 'estela': 1.3333333333333333, 'R2': 0.9926981679930915}"
2021_04_23_21_07_01_000_010319-trim-0913-crop-360p1.mp4,0,0.2,"{'num_frames_deteccion': 5, 'variabilidad': 1.2962962962962963, 'max_contorno': 35.0, 'min_contorno': 27.0, 'estelaH': 1.0, 'estelaV': 1.1666666666666667, 'estela': 1.1666666666666667, 'R2': 0.9919434661936516}"
2021_04_23_21_08_01_000_010319-trim-0597-crop-360p1.mp4,0,0.0,"{'num_frames_deteccion': 0, 'variabilidad': 0, 'max_contorno': 0, 'min_contorno': 0, 'estelaH': 0, 'estelaV': 0, 'estela': 0, 'R2': 0}"
